Topografia,Pendiente2,Aspecto,Perfil de Curvatura,Plano de Curvatura,Deslizamientos,Tmax,Tmin,Viento,Humedad,Solar,Precip30
1500.810059,35.7505989,283.8039856,0.0002625,-0.0184669,1,27.6973,20.6100998,1.00748,0.921063,17.8577995,408.7049866
794.5029907,75.5289993,358.3380127,-0.0076888,0.0511913,1,27.9731998,21.0128994,0.93519,0.927962,16.6319008,450.9880066
795.9520264,75.4868011,359.8630066,-0.0028046,0.0506195,1,27.9729004,21.0125999,0.935246,0.927958,16.6327,450.9410095
794.7230225,75.4289017,0.936083,0.0094136,0.0508366,1,27.9726009,21.0123005,0.935302,0.927954,16.6336002,450.8940125
791.9279785,75.384697,1.85062,0.0168111,0.0465943,1,27.9722996,21.0119991,0.935358,0.92795,16.6345005,450.8460083
786.6539917,74.7471008,8.2508297,0.0138513,0.0317792,1,27.9720001,21.0118008,0.935415,0.927946,16.6354008,450.7990112
769.2670288,72.4524994,17.2756004,0.0145799,0.0123027,1,27.9717007,21.0114994,0.935471,0.927943,16.6362991,450.7510071
894.4039917,73.0653992,0.0303924,-0.0075285,0.0855232,1,27.9734993,21.0125999,0.935271,0.927949,16.6336994,450.9200134
893.1690063,73.9581985,357.973999,0.0060275,0.0832288,1,27.9731998,21.0123005,0.935328,0.927945,16.6345997,450.8729858
892.6890259,76.1361008,356.5280151,0.0098421,0.0840953,1,27.9729004,21.0121002,0.935384,0.927941,16.6354008,450.8259888
890.9520264,77.8159027,6.7459502,0.0068516,0.0828494,1,27.9726009,21.0118008,0.93544,0.927938,16.6362991,450.7780151
1038.790039,65.7727966,170.1950073,-0.0007341,0.0917201,1,27.9529991,20.9934006,0.939212,0.927683,16.6954002,447.6080017
1032.689941,68.7873001,172.5749969,-0.0044548,0.0880446,1,27.9526997,20.9930992,0.939274,0.927678,16.6963997,447.5559998
1026.219971,70.9139023,173.8300018,-0.0060407,0.0853314,1,27.9524002,20.9927998,0.939335,0.927674,16.6973,447.5039978
1020.710022,72.2885971,176.0410004,-0.0028183,0.0821479,1,27.9521008,20.9925003,0.939397,0.92767,16.6982994,447.4530029
924.7810059,44.4245987,180.951004,0.0402145,0.0957758,1,27.9740009,21.0125999,0.935297,0.92794,16.6345997,450.8989868
928.3690186,42.5453987,214.5319977,0.124636,0.019646,1,27.9736996,21.0123005,0.935353,0.927936,16.6355,450.8519897
951.9119873,44.8167992,258.4249878,0.0603473,0.0635205,1,27.9734001,21.0121002,0.935409,0.927933,16.6364002,450.8049927
1012.890015,74.430603,174.8379974,0.0123962,0.0660458,1,27.9545002,20.9943008,0.939055,0.927686,16.6933994,447.743988
1002.690002,75.5450974,171.1860046,0.0076804,0.0594299,1,27.9542007,20.9939995,0.939116,0.927682,16.6944008,447.6929932
985.1129761,76.6535034,169.4429932,0.0035891,0.0505985,1,27.9538994,20.9937,0.939177,0.927678,16.6954002,447.6419983
966.2849731,77.4284973,170.9880066,-0.0012709,0.0430321,1,27.9535007,20.9934006,0.939239,0.927674,16.6963005,447.5899963
952.6049805,77.9347992,172.7960052,-0.0057312,0.035438,1,27.9531994,20.9930992,0.9393,0.92767,16.6973,447.5390015
938.8029785,78.3183975,173.5870056,-0.0087377,0.0275637,1,27.9528999,20.9927998,0.939362,0.927666,16.6982002,447.4869995
